,count,mean,std,min,50%,max,Skewness,Kurtosis
OPEN,627075.0,0.0461,6.0361,-1130.5,0.0,877.8,-0.6799,14820.5214
HIGH,627075.0,0.0243,2.4567,-410.4,-0.0213,551.0,85.7964,20014.9868
LOW,627075.0,0.0599,2.7958,-326.8,0.0162,877.8,103.1165,27336.5622
CLOSE,627075.0,0.0181,4.4913,-1130.5,0.0,551.0,-121.6205,29389.9801
VOLUME,627075.0,-0.0086,1.0757,-3.26,-0.2576,4.2485,1.1099,1.1625
FA_ROE_AVG,627075.0,-0.0029,0.9981,-2.4514,-0.2251,3.9199,1.1898,2.5895
FA_ORGR_TTM,627075.0,-0.0016,0.996,-1.5944,-0.1985,6.0015,3.1896,14.8895
FA_DEBTTOASSET,627075.0,-0.0002,0.9996,-1.9867,0.0493,1.7136,-0.0706,-0.9126
PE_TTM,627075.0,-0.0012,0.998,-2.443,-0.2465,6.1151,3.4529,17.4179
WEST_SALES_FTM_CHG_3M,627075.0,-0.0018,0.9954,-3.7386,-0.1652,5.2951,1.7013,11.9028
WEST_NETPROFIT_FTM_CHG_3M,627075.0,-0.0019,0.9948,-3.7782,-0.0936,4.9509,1.1643,9.7001
target_return,627075.0,0.0007,0.0246,-0.2002,0.0,0.2004,0.6071,5.3281
