date,code,sec_name
2024-08-16,002600.SZ,领益智造
2024-08-19,002601.SZ,龙佰集团
2024-08-20,601825.SH,沪农商行
2024-08-21,601825.SH,沪农商行
2024-08-22,601169.SH,北京银行
2024-08-23,002049.SZ,紫光国微
2024-08-26,002049.SZ,紫光国微
2024-08-27,000792.SZ,盐湖股份
2024-08-28,603986.SH,兆易创新
2024-08-29,601138.SH,工业富联
2024-08-30,600085.SH,同仁堂
2024-09-02,601868.SH,中国能建
2024-09-03,001965.SZ,招商公路
2024-09-04,300316.SZ,晶盛机电
2024-09-05,600111.SH,北方稀土
2024-09-06,301269.SZ,华大九天
2024-09-09,002601.SZ,龙佰集团
2024-09-10,601868.SH,中国能建
2024-09-11,600085.SH,同仁堂
2024-09-12,600085.SH,同仁堂
2024-09-13,600085.SH,同仁堂
2024-09-18,600233.SH,圆通速递
2024-09-19,600233.SH,圆通速递
2024-09-20,600233.SH,圆通速递
2024-09-23,601012.SH,隆基绿能
2024-09-24,600760.SH,中航沈飞
2024-09-25,601117.SH,中国化学
2024-09-26,600176.SH,中国巨石
2024-09-27,601009.SH,南京银行
2024-09-30,600362.SH,江西铜业
2024-10-08,600362.SH,江西铜业
2024-10-09,600027.SH,华电国际
2024-10-10,600011.SH,华能国际
2024-10-11,300316.SZ,晶盛机电
2024-10-14,300316.SZ,晶盛机电
2024-10-15,600803.SH,新奥股份
2024-10-16,600061.SH,国投资本
2024-10-17,600900.SH,长江电力
2024-10-18,600900.SH,长江电力
2024-10-21,603260.SH,合盛硅业
2024-10-22,002714.SZ,牧原股份
2024-10-23,600547.SH,山东黄金
2024-10-24,601995.SH,中金公司
2024-10-25,600010.SH,包钢股份
2024-10-28,300251.SZ,光线传媒
2024-10-29,601390.SH,中国中铁
2024-10-30,300014.SZ,亿纬锂能
2024-10-31,002463.SZ,沪电股份
2024-11-01,600309.SH,万华化学
2024-11-04,601607.SH,上海医药
2024-11-05,601607.SH,上海医药
2024-11-06,601668.SH,中国建筑
2024-11-07,002050.SZ,三花智控
2024-11-08,601136.SH,首创证券
2024-11-11,600028.SH,中国石化
2024-11-12,600028.SH,中国石化
2024-11-13,600674.SH,川投能源
2024-11-14,002466.SZ,天齐锂业
2024-11-15,002466.SZ,天齐锂业
2024-11-18,002384.SZ,东山精密
2024-11-19,601006.SH,大秦铁路
2024-11-20,600183.SH,生益科技
2024-11-21,600183.SH,生益科技
2024-11-22,603893.SH,瑞芯微
2024-11-25,688036.SH,传音控股
2024-11-26,002600.SZ,领益智造
2024-11-27,600919.SH,江苏银行
2024-11-28,601390.SH,中国中铁
2024-11-29,601390.SH,中国中铁
2024-12-02,600276.SH,恒瑞医药
2024-12-03,300750.SZ,宁德时代
2024-12-04,300059.SZ,东方财富
2024-12-05,300059.SZ,东方财富
2024-12-06,600522.SH,中天科技
2024-12-09,600926.SH,杭州银行
2024-12-10,600926.SH,杭州银行
2024-12-11,300661.SZ,圣邦股份
2024-12-12,300661.SZ,圣邦股份
2024-12-13,688126.SH,沪硅产业
2024-12-16,600918.SH,中泰证券
2024-12-17,600515.SH,海南机场
2024-12-18,600515.SH,海南机场
2024-12-19,600515.SH,海南机场
2024-12-20,600176.SH,中国巨石
2024-12-23,600660.SH,福耀玻璃
2024-12-24,601288.SH,农业银行
2024-12-25,601111.SH,中国国航
2024-12-26,688012.SH,中微公司
2024-12-27,601939.SH,建设银行
2024-12-30,002311.SZ,海大集团
2024-12-31,002311.SZ,海大集团
2025-01-02,603993.SH,洛阳钼业
2025-01-03,600061.SH,国投资本
2025-01-06,688008.SH,澜起科技
2025-01-07,601012.SH,隆基绿能
2025-01-08,601012.SH,隆基绿能
2025-01-09,600845.SH,宝信软件
2025-01-10,688126.SH,沪硅产业
2025-01-13,600803.SH,新奥股份
2025-01-14,601390.SH,中国中铁
2025-01-15,002709.SZ,天赐材料
2025-01-16,002709.SZ,天赐材料
2025-01-17,002709.SZ,天赐材料
2025-01-20,600875.SH,东方电气
2025-01-21,601298.SH,青岛港
2025-01-22,601298.SH,青岛港
2025-01-23,601898.SH,中煤能源
2025-01-24,600886.SH,国投电力
2025-01-27,600886.SH,国投电力
2025-02-05,603195.SH,公牛集团
2025-02-06,600018.SH,上港集团
2025-02-07,600570.SH,恒生电子
2025-02-10,300979.SZ,华利集团
2025-02-11,300979.SZ,华利集团
2025-02-12,601995.SH,中金公司
2025-02-13,601995.SH,中金公司
2025-02-14,600958.SH,东方证券
2025-02-17,600958.SH,东方证券
2025-02-18,600958.SH,东方证券
2025-02-19,300251.SZ,光线传媒
2025-02-20,600104.SH,上汽集团
2025-02-21,601136.SH,首创证券
2025-02-24,601607.SH,上海医药
2025-02-25,601878.SH,浙商证券
2025-02-26,601878.SH,浙商证券
2025-02-27,600415.SH,小商品城
2025-02-28,300628.SZ,亿联网络
2025-03-03,300628.SZ,亿联网络
2025-03-04,002252.SZ,上海莱士
2025-03-05,002027.SZ,分众传媒
2025-03-06,688047.SH,龙芯中科
2025-03-07,601012.SH,隆基绿能
2025-03-10,300122.SZ,智飞生物
